made,shot_x,shot_y,shooter_velocity_ft_sec,shooter_velocity_angle,dribbles_before,defender_distance,defender_angle,defender_velocity_ft_sec,defender_velocity_angle
0,-3.08274397,25.33216225,1.449871387,22.00569626,0,6.888082658,-12.23673102,5.110436811,-15.16169448
0,3.076856799,15.36585525,4.155155943,-43.33693709,0,0.767473241,21.57490021,3.617409688,49.13458576
0,5.09192264,17.36770285,2.318725897,62.17977334,11,3.818047358,-15.04968109,3.420583359,-102.9128751
1,0.262813894,4.360685997,12,-5.6220467,13,3.626198705,-58.85500779,7.786821441,-176.2885089
1,-1.248237552,2.716614582,9.232458607,-10.87817493,1,3.706971733,79.87404908,5.737819675,-32.23952327
1,-11.0421421,10.32351037,9.556087282,22.52118658,10,0.043348278,-125.8126966,9.935627058,62.30936129
1,-1.024026651,0.030779338,12,104.982617,0,2.66412821,-101.6079255,12,-167.8369506
0,-16.66624811,18.47877728,3.584937859,90.00968186,1,3.136961726,4.363559268,10.40773559,-2.789148188
1,-1.969207853,3.046721676,4.132175837,149.0079219,0,1.494442414,138.2148284,3.141819279,133.691877
0,6.682599128,3.995543516,7.363996351,76.32301292,0,3.564174886,47.91482845,7.115655835,-32.45138588
0,-4.024217068,57.07906011,11.85617124,-2.163565638,1,10.46156869,-19.96806327,11.4815474,179.3566649
0,2.843307037,6.886662812,7.631031044,62.51812661,18,0.918607312,-24.04979249,5.093146898,-121.530388
0,7.920357855,23.57277655,0.065680276,68.6204182,1,6.069997963,49.62603395,9.273180189,53.05858759
0,-1.557848183,7.05647303,12,16.24962923,2,1.286434768,84.79796595,10.67610578,-80.69542594
0,-19.09500241,19.48051245,5.458934756,117.9452577,1,2.579047856,53.46806241,4.266704408,-25.55710864
0,14.79053067,3.222082724,1.072667896,151.4109865,0,2.582311326,30.73255182,6.941233318,10.70883946
0,-22.0273011,3.141483217,0.603828747,139.816824,1,3.487162606,11.77566199,5.386948304,-60.28953777
0,1.757725688,-0.349541123,8.917881881,38.40727576,2,0,43.51842244,5.389224439,-64.39618863
0,22.67684395,2.117997304,3.212738517,29.6219103,0,5.782178757,23.53427921,12,26.919357
0,-19.71305727,13.8178184,1.115033266,22.87543383,4,5.25338675,24.77022086,5.822256052,25.15904396
0,0.938489961,8.718712818,9.729341023,3.158800106,2,3.919317382,56.91766615,6.000820502,-68.32104229
0,8.350721757,3.074683911,8.117043846,-46.14594957,6,2.125770529,-135.3323873,11.80954869,-16.41910629
0,-15.19704879,21.01165477,1.435226211,68.47569386,0,5.985353021,22.84730021,9.628536204,-20.18747406
1,0.149158648,4.803625045,6.161842273,-1.477172725,7,3.399553106,15.99326554,9.801382027,173.9794339
1,22.85689073,-0.182559399,3.963747394,94.58134631,0,5.735298786,22.10453919,10.71422447,-27.32673685
1,-4.177533284,-0.145006037,7.915301405,-3.792200001,0,1.963483265,-52.71023721,4.607965951,63.43452596
0,3.011198513,2.029252254,0.623984291,118.2331978,1,2.386790274,73.67898998,2.002053807,-15.6030984
1,1.027947867,7.179340794,12,-60.61504741,4,1.915853983,-47.13364248,8.449597533,30.30767161
